id,bed_id,course,piece_id,receiver_id,kind,entry_face,u_from_A_mm,v_mm,w_up_mm,entry_x_mm,entry_y_mm,entry_z_mm,direction_x,direction_y,direction_z,screw_id,screw_length_mm,diameter_mm,through_mm,penetration_mm,pilot_mode,pilot_diameter_mm,pilot_depth_mm
side-01-C1-N-F01,side-01,1,side-01-C1-N,side-01-C1-W,corner,outer,50.0,100,50.0,50.0,900,50.0,0,-1,0,wickes-287686,150,7,100,50,unconfirmed,,
side-01-C1-N-F02,side-01,1,side-01-C1-N,side-01-C1-W,corner,outer,50.0,100,150.0,50.0,900,150.0,0,-1,0,wickes-287686,150,7,100,50,unconfirmed,,
side-01-C1-N-F03,side-01,1,side-01-C1-N,side-01-C1-E,corner,outer,1750.0,100,50.0,1750.0,900,50.0,0,-1,0,wickes-287686,150,7,100,50,unconfirmed,,
side-01-C1-N-F04,side-01,1,side-01-C1-N,side-01-C1-E,corner,outer,1750.0,100,150.0,1750.0,900,150.0,0,-1,0,wickes-287686,150,7,100,50,unconfirmed,,
side-01-C1-S-F01,side-01,1,side-01-C1-S,side-01-C1-W,corner,outer,50.0,0,50.0,50.0,0,50.0,0,1,0,wickes-287686,150,7,100,50,unconfirmed,,
side-01-C1-S-F02,side-01,1,side-01-C1-S,side-01-C1-W,corner,outer,50.0,0,150.0,50.0,0,150.0,0,1,0,wickes-287686,150,7,100,50,unconfirmed,,
side-01-C1-S-F03,side-01,1,side-01-C1-S,side-01-C1-E,corner,outer,1750.0,0,50.0,1750.0,0,50.0,0,1,0,wickes-287686,150,7,100,50,unconfirmed,,
side-01-C1-S-F04,side-01,1,side-01-C1-S,side-01-C1-E,corner,outer,1750.0,0,150.0,1750.0,0,150.0,0,1,0,wickes-287686,150,7,100,50,unconfirmed,,
side-01-C2-E-F01,side-01,2,side-01-C2-E,side-01-C2-S,corner,outer,50.0,100,50.0,1800,50.0,250.0,-1,0,0,wickes-287686,150,7,100,50,unconfirmed,,
side-01-C2-E-F02,side-01,2,side-01-C2-E,side-01-C2-S,corner,outer,50.0,100,150.0,1800,50.0,350.0,-1,0,0,wickes-287686,150,7,100,50,unconfirmed,,
side-01-C2-E-F03,side-01,2,side-01-C2-E,side-01-C2-N,corner,outer,850.0,100,50.0,1800,850.0,250.0,-1,0,0,wickes-287686,150,7,100,50,unconfirmed,,
side-01-C2-E-F04,side-01,2,side-01-C2-E,side-01-C2-N,corner,outer,850.0,100,150.0,1800,850.0,350.0,-1,0,0,wickes-287686,150,7,100,50,unconfirmed,,
side-01-C2-E-F05,side-01,2,side-01-C2-E,side-01-C1-E,stack,top,200.0,50.0,200,1750.0,200.0,400,0,0,-1,wickes-287688,250,7,200,50,unconfirmed,,
side-01-C2-E-F06,side-01,2,side-01-C2-E,side-01-C1-E,stack,top,700.0,50.0,200,1750.0,700.0,400,0,0,-1,wickes-287688,250,7,200,50,unconfirmed,,
side-01-C2-N-F01,side-01,2,side-01-C2-N,side-01-C1-N,stack,top,200.0,50.0,200,300.0,850.0,400,0,0,-1,wickes-287688,250,7,200,50,unconfirmed,,
side-01-C2-N-F02,side-01,2,side-01-C2-N,side-01-C1-N,stack,top,800.0,50.0,200,900.0,850.0,400,0,0,-1,wickes-287688,250,7,200,50,unconfirmed,,
