board_id,stock_id,sequence,operation,piece_id,kerf_start_mm,kerf_end_mm,blade_centre_mm
B005,wickes-276785,1,crosscut; keep piece on datum side,front-01-C2-N,2200,2203,2201.5
B006,wickes-276785,1,crosscut; keep piece on datum side,front-01-C2-S,2200,2203,2201.5
B007,wickes-276785,1,crosscut; keep piece on datum side,front-02-C2-N,2200,2203,2201.5
B008,wickes-276785,1,crosscut; keep piece on datum side,front-02-C2-S,2200,2203,2201.5
B013,wickes-256948,1,crosscut; keep piece on datum side,side-01-C2-N,1600,1603,1601.5
B014,wickes-256948,1,crosscut; keep piece on datum side,side-01-C2-S,1600,1603,1601.5
B015,wickes-276785,1,crosscut; keep piece on datum side,front-01-C2-E,1200,1203,1201.5
B015,wickes-276785,2,crosscut; keep piece on datum side,front-01-C1-E,2203,2206,2204.5
B016,wickes-276785,1,crosscut; keep piece on datum side,front-01-C2-W,1200,1203,1201.5
B016,wickes-276785,2,crosscut; keep piece on datum side,front-01-C1-W,2203,2206,2204.5
B017,wickes-276785,1,crosscut; keep piece on datum side,front-02-C2-E,1200,1203,1201.5
B017,wickes-276785,2,crosscut; keep piece on datum side,front-02-C1-E,2203,2206,2204.5
B018,wickes-276785,1,crosscut; keep piece on datum side,front-02-C2-W,1200,1203,1201.5
B018,wickes-276785,2,crosscut; keep piece on datum side,front-02-C1-W,2203,2206,2204.5
B019,wickes-276785,1,crosscut; keep piece on datum side,side-01-C2-E,900,903,901.5
B019,wickes-276785,2,crosscut; keep piece on datum side,side-01-C1-E,1603,1606,1604.5
B019,wickes-276785,3,crosscut; keep piece on datum side,side-01-C1-W,2306,2309,2307.5
B020,wickes-276785,1,crosscut; keep piece on datum side,side-01-C2-W,900,903,901.5
B020,wickes-276785,2,crosscut; keep piece on datum side,side-01-C3-E,1603,1606,1604.5
B020,wickes-276785,3,crosscut; keep piece on datum side,side-01-C3-W,2306,2309,2307.5
