id,stock_board,bed_id,course,side,axis,length_mm,thickness_mm,height_mm,x_mm,y_mm,z_mm,through_at_corners
front-01-C1-S,B002,front-01,1,S,X,2400,100,200,0,0,0,True
front-01-C1-N,B001,front-01,1,N,X,2400,100,200,0,1100,0,True
front-01-C1-W,B016,front-01,1,W,Y,1000,100,200,0,100,0,False
front-01-C1-E,B015,front-01,1,E,Y,1000,100,200,2300,100,0,False
front-01-C2-S,B006,front-01,2,S,X,2200,100,200,100,0,200,False
front-01-C2-N,B005,front-01,2,N,X,2200,100,200,100,1100,200,False
front-01-C2-W,B016,front-01,2,W,Y,1200,100,200,0,0,200,True
front-01-C2-E,B015,front-01,2,E,Y,1200,100,200,2300,0,200,True
front-02-C1-S,B004,front-02,1,S,X,2400,100,200,0,0,0,True
front-02-C1-N,B003,front-02,1,N,X,2400,100,200,0,1100,0,True
front-02-C1-W,B018,front-02,1,W,Y,1000,100,200,0,100,0,False
front-02-C1-E,B017,front-02,1,E,Y,1000,100,200,2300,100,0,False
front-02-C2-S,B008,front-02,2,S,X,2200,100,200,100,0,200,False
front-02-C2-N,B007,front-02,2,N,X,2200,100,200,100,1100,200,False
front-02-C2-W,B018,front-02,2,W,Y,1200,100,200,0,0,200,True
front-02-C2-E,B017,front-02,2,E,Y,1200,100,200,2300,0,200,True
side-01-C1-S,B010,side-01,1,S,X,1800,100,200,0,0,0,True
side-01-C1-N,B009,side-01,1,N,X,1800,100,200,0,800,0,True
side-01-C1-W,B019,side-01,1,W,Y,700,100,200,0,100,0,False
side-01-C1-E,B019,side-01,1,E,Y,700,100,200,1700,100,0,False
side-01-C2-S,B014,side-01,2,S,X,1600,100,200,100,0,200,False
side-01-C2-N,B013,side-01,2,N,X,1600,100,200,100,800,200,False
side-01-C2-W,B020,side-01,2,W,Y,900,100,200,0,0,200,True
side-01-C2-E,B019,side-01,2,E,Y,900,100,200,1700,0,200,True
side-01-C3-S,B012,side-01,3,S,X,1800,100,200,0,0,400,True
side-01-C3-N,B011,side-01,3,N,X,1800,100,200,0,800,400,True
side-01-C3-W,B020,side-01,3,W,Y,700,100,200,0,100,400,False
side-01-C3-E,B020,side-01,3,E,Y,700,100,200,1700,100,400,False
