id,stock_board,bed_id,course,side,axis,length_mm,thickness_mm,height_mm,x_mm,y_mm,z_mm,through_at_corners
side-01-C1-S,B002,side-01,1,S,X,1800,100,200,0,0,0,True
side-01-C1-N,B001,side-01,1,N,X,1800,100,200,0,800,0,True
side-01-C1-W,B006,side-01,1,W,Y,700,100,200,0,100,0,False
side-01-C1-E,B005,side-01,1,E,Y,700,100,200,1700,100,0,False
side-01-C2-S,B006,side-01,2,S,X,1600,100,200,100,0,200,False
side-01-C2-N,B005,side-01,2,N,X,1600,100,200,100,800,200,False
side-01-C2-W,B008,side-01,2,W,Y,900,100,200,0,0,200,True
side-01-C2-E,B007,side-01,2,E,Y,900,100,200,1700,0,200,True
side-01-C3-S,B004,side-01,3,S,X,1800,100,200,0,0,400,True
side-01-C3-N,B003,side-01,3,N,X,1800,100,200,0,800,400,True
side-01-C3-W,B008,side-01,3,W,Y,700,100,200,0,100,400,False
side-01-C3-E,B008,side-01,3,E,Y,700,100,200,1700,100,400,False
