id,piece_id,receiver_id,course,side,kind,face,u,v,w,screw_id,screw_length,diameter,through,penetration,pilot_mode,pilot_diameter_mm,pilot_depth_mm,head_seat
first-bed-01-C1-N-F01,first-bed-01-C1-N,first-bed-01-C1-W,1,N,corner,OUTER,50,100,50,wickes-287686,150,7,100,50,unconfirmed,,,unconfirmed
first-bed-01-C1-N-F02,first-bed-01-C1-N,first-bed-01-C1-W,1,N,corner,OUTER,50,100,150,wickes-287686,150,7,100,50,unconfirmed,,,unconfirmed
first-bed-01-C1-N-F03,first-bed-01-C1-N,first-bed-01-C1-E,1,N,corner,OUTER,2350,100,50,wickes-287686,150,7,100,50,unconfirmed,,,unconfirmed
first-bed-01-C1-N-F04,first-bed-01-C1-N,first-bed-01-C1-E,1,N,corner,OUTER,2350,100,150,wickes-287686,150,7,100,50,unconfirmed,,,unconfirmed
first-bed-01-C1-S-F01,first-bed-01-C1-S,first-bed-01-C1-W,1,S,corner,OUTER,50,0,50,wickes-287686,150,7,100,50,unconfirmed,,,unconfirmed
first-bed-01-C1-S-F02,first-bed-01-C1-S,first-bed-01-C1-W,1,S,corner,OUTER,50,0,150,wickes-287686,150,7,100,50,unconfirmed,,,unconfirmed
first-bed-01-C1-S-F03,first-bed-01-C1-S,first-bed-01-C1-E,1,S,corner,OUTER,2350,0,50,wickes-287686,150,7,100,50,unconfirmed,,,unconfirmed
first-bed-01-C1-S-F04,first-bed-01-C1-S,first-bed-01-C1-E,1,S,corner,OUTER,2350,0,150,wickes-287686,150,7,100,50,unconfirmed,,,unconfirmed
first-bed-01-C2-E-F01,first-bed-01-C2-E,first-bed-01-C1-E,2,E,stack,TOP,200,50,200,wickes-287688,250,7,200,50,unconfirmed,,,unconfirmed
first-bed-01-C2-E-F02,first-bed-01-C2-E,first-bed-01-C1-E,2,E,stack,TOP,600,50,200,wickes-287688,250,7,200,50,unconfirmed,,,unconfirmed
first-bed-01-C2-E-F03,first-bed-01-C2-E,first-bed-01-C1-E,2,E,stack,TOP,1000,50,200,wickes-287688,250,7,200,50,unconfirmed,,,unconfirmed
first-bed-01-C2-N-F01,first-bed-01-C2-N,first-bed-01-C2-W,2,N,corner,OUTER,50,100,50,wickes-287686,150,7,100,50,unconfirmed,,,unconfirmed
first-bed-01-C2-N-F02,first-bed-01-C2-N,first-bed-01-C2-W,2,N,corner,OUTER,50,100,150,wickes-287686,150,7,100,50,unconfirmed,,,unconfirmed
first-bed-01-C2-N-F03,first-bed-01-C2-N,first-bed-01-C2-E,2,N,corner,OUTER,2350,100,50,wickes-287686,150,7,100,50,unconfirmed,,,unconfirmed
first-bed-01-C2-N-F04,first-bed-01-C2-N,first-bed-01-C2-E,2,N,corner,OUTER,2350,100,150,wickes-287686,150,7,100,50,unconfirmed,,,unconfirmed
first-bed-01-C2-N-F05,first-bed-01-C2-N,first-bed-01-C1-N,2,N,stack,TOP,200,50,200,wickes-287688,250,7,200,50,unconfirmed,,,unconfirmed
first-bed-01-C2-N-F06,first-bed-01-C2-N,first-bed-01-C1-N,2,N,stack,TOP,700,50,200,wickes-287688,250,7,200,50,unconfirmed,,,unconfirmed
